Unnamed: 0,CoinName,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
VIG,TheVig,SHA-256D,PoW/PoS,33238183.7225834,100000000
PLURA,PluraCoin,CryptoNight,PoW,560085952.404637,1000000000
EMAR,EmaratCoin,Scrypt,PoW/PoS,21599339.6728,84000000
DKD,Dekado,X15,PoS,30284196.369129,90000000
LYNX,Lynx,Scrypt,HPoW,77872059787.8998,92000000000
POSQ,Poseidon Quark,Quark,PoS,2716264.95302831,650000000 
BWS,BitcoinWSpectrum,SHA-256,PoS,57811001.000889,100262205
MUSE,Muse,DPoS,PoS,18194936.0,18081806 
XMN,Motion,X16R,PoW,8125865.02097646,22075700
PLUS1,PlusOneCoin,HMQ1725,PoW,8645406.16776286,21000000
AXE,Axe,X11,PoW,4993030.69736615,21000000
TRVC,Trivechain,X16R,PoW/PoS,36923120.6205934,82546564
DTEM,Dystem,Quark,PoS,7082392.24744494,21000000
GIC,Giant,Quark,PoW/PoS,5919489.76813523,5151000
PNY,Peony Coin,Scrypt,PoS,1042012.45227735,16880000000
ABS,Absolute Coin,Lyra2REv2,PoW/PoS,13332617.9413708,52500000
VITAE,Vitae,Quark,PoS,66053877.6256106,100000000
HEX,HexCoin,Scrypt,PoW,1416663.06600024,22105263
TPC,TPCash,Scrypt,PoW/PoS,5403802.49590733,1000000000
WEBC,Webchain,CryptoNight-V7,PoW,15580199.3087496,1750000000
RYO,Ryo,Cryptonight-GPU,PoW,4890897.0,88188888
URALS,Urals Coin,XEVAN,PoW,14746153.0962884,210000000
QWC,Qwertycoin,CryptoNight Heavy,PoW,99553110528.8022,184470000000
ARE,ARENON,X11,PoS,19269509.94,55000000
EUNO,EUNO,X11,PoW/PoS,30771125.9760867,50000000
MMO,MMOCoin,Scrypt,PoS,107763867.917675,260000000
KETAN,Ketan,PoS,PoS,9327131.59708692,210000000
PPAI,Project Pai,SHA-256,PoW,2100000000.0,2100000000
XDNA,XDNA,Keccak,PoW/PoS,4672513.84432375,366000000
PAXEX,PAXEX,X11,PoS,4504639.0,100000000
AZART,Azart,X11,PoW,5015881.37315389,25000000
TSC,ThunderStake,Scrypt,PoW/PoS,1059954080.43439,18000000000
KCASH,Kcash,SHA-512,Zero-Knowledge Proof,1000000000.0,1000000000
XCG,Xchange,X16R,PoW,9753753.61515394,100000000
AAC,Acute Angle Cloud,ECC 256K1,DPOS,1000000000.0,1000000000
CRYP,CrypticCoin,Equihash,PoW,4235111504.0,7600000000
BTXC,Bettex coin,XEVAN,PoS,6787405.18013774,50000000
ACM,Actinium,Lyra2Z,PoW,13634850.0,84000000
BSV,Bitcoin SV,SHA-256,PoW,17992514.6469233,21000000
BITM,BitMoney,XEVAN,Pos,208515864.367343,70000000000
JMC,Junson Ming Chan Coin,X11,PoS,17209923728.3266,0
FRED,FREDEnergy,CryptoNight,PoW,1867054873.28397,8080000000
HERB,HerbCoin,Quark,PoW/PoS,35312185.7437239,54000000
UMO,Universal Molecule,Blake,PoW,1578281.31341127,105120001.44
LIT,Lithium,Blake,PoW,15846721.2482747,25228800
PIRATE,PirateCash,Equihash,PoS,13475920.0,105000000
EXO,Exosis,Exosis,PoW,406091.925,21000000
BLTG,Block-Logic,Scrypt,PoW,35284717.173946,120000000
OWC,Oduwa,Scrypt,PoW/PoS,14777549.3940764,21000000
BEAM,Beam,Equihash,PoW,35687520.0,262800000
GALI,Galilel,Quark,PoW/PoS,18265011.2486006,19035999
BTH,Bithereum,Equihash,PoW,25150787.5,30886000
CSPN,Crypto Sports,Quark,PoS,1934701.67524713,13370000
CREDIT,Credit,Scrypt,PoW/PoS,30825710000.0296,74800000000
SLC,SLICE,QuBit,PoW,12925790.4226959,100000000
DASHP,Dash Platinum,X11,PoS,715659.44237941,19700000
NSD,Nasdacoin,Scrypt,PoW/PoS,20546528.2059957,84000000
BEET,Beetle Coin,XEVAN,PoW/PoS,198938144.363399,500000000
TTN,Titan Coin,SHA-256D,PoW/PoS,896361168.0,5000000000
AWR,Award,X11,PoW/PoS,15420234.5389336,420000000
BLAST,BLAST,SHA-256,PoW,52293836.6277958,64000000
XRC,Bitcoin Rhodium,X13,PoW,1170292.5,2100000
GLT,GlobalToken,SHA-256,PoW,84613099.9999955,168000000
INSN,Insane Coin,X11,PoW/PoS,23775960.3207514,30000000
ALX,ALAX,DPoS,DPoS,1000000000.0,1000000000
LDOGE,LiteDoge,Scrypt,PoW/PoS,15318887081.0146,35000000000
SLR,SolarCoin,Scrypt,PoW,55565076.3863525,98100000000
TRK,TruckCoin,X11,PoW/PoS,242574105.22384,0
UFO,UFO Coin,NeoScrypt,PoW,3824685012.0,4000000000
OC,OrangeCoin,Scrypt,PoW/PoS,3537150.0,200000000
BLC,BlakeCoin,Blake,PoW,23356790.1494191,7000000000
BITS,BitstarCoin,Scrypt,PoW/PoS,20576532.0,54256119
NEOS,NeosCoin,SHA-256,PoS,4392258.24647793,21000000
HYPER,HyperCoin,Scrypt,PoW/PoS,9631199.99309942,0
PINK,PinkCoin,X11,PoW/PoS,436353624.490312,500000000
CESC,Crypto Escudo,Scrypt,PoW,780210700.0,1000000000
ADC,AudioCoin,Scrypt,PoW/PoS,980732528.97974,10500000000
NKA,IncaKoin,SHA-256,PoW/PoS,17939725045.334,190000000
PIGGY,Piggy Coin,X11,PoW/PoS,494240666.028571,1000000000
CRW,Crown Coin,SHA-256,PoW,22986929.0854247,42000000
GEN,Genstake,Scrypt,PoW/PoS,60000000.0,15000000
SMLY,SmileyCoin,Scrypt,PoW,29583989322.9213,50000000000
MI,XiaoMiCoin,Scrypt,PoW/PoS,404316475.545465,400000000
GRS,Groestlcoin,Groestl,PoW,73298203.8873662,105000000
CPC,CapriCoin,X11,PoW/PoS,201364327.427503,208000000
CLUB, ClubCoin,Scrypt,PoW/PoS,103621876.167052,160000000
RADS,Radium,PoS,PoS,3821245.74150193,9000000
BTA,Bata,Scrypt,PoW,5052555.91981545,5000000
PAK,Pakcoin,Scrypt,PoW,69684455.4387001,182000000
CRB,Creditbit ,X11,Proof of Trust,16901016.6609755,16504333
OK,OKCash,SHA-256,PoW/PoS,74676064.9488608,105000000
LSK,Lisk,DPoS,DPoS,120012140.0,159918400
XHI,HiCoin,Scrypt,PoS,10000244677.7002,10008835635
XWC,WhiteCoin,Scrypt,PoW/PoS,252005564.19257,300000000
FSC,FriendshipCoin,NeoScrypt,PoW/PoS,1120385.00502,60168145
J,JoinCoin,Multiple,PoW,3332922.5,2800000
TRI,Triangles Coin,X13,PoW/PoS,140777.753365,120000
VOLLAR,Vollar,Equihash+Scrypt,PoW,100000000.0,2100000000
EOS,EOS,DPoS,DPoS,1020544523.0722,0
RCC,Reality Clash,Ethash,PoW,24487944.0958204,24487944
OXY,Oxycoin,DPoS,DPoS,1122382283.37,0
TCH,TigerCash,SHA-256,PoS,1000000000.0,1000000000
WAVES,Waves,Leased POS,LPoS,100000000.0,100000000
PART,Particl,PoS,PoS,9283137.5558676,8634140
BTT,BitTorrent,TRC10,DPoS,989988713439.649,990000000000
NXT,Nxt,PoS,PoS/LPoS,1000000000.0,1000000000
ZEPH,ZEPHYR,SHA-256,DPoS,1999999995.3056,2000000000
GAP,Gapcoin,Scrypt,PoW/PoS,14931046.1546605,250000000
BDX,Beldex,CryptoNight,PoW,980222595.0,1400222610
ZEN,Horizen,Equihash,PoW,7296537.5,21000000
XBC,BitcoinPlus,Scrypt,PoS,128326.99633965,1000000
